"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/registry",27108,460,940,1600,2200,4600,6700,9300,11000,99000
"POST /api/registry",13816,130,340,510,650,1200,2200,4600,6200,41000
"GET /api/registry/software",13606,150,370,620,840,2000,3900,6900,8800,77000
"GET /api/status",13966,88,220,380,490,940,1700,3700,5800,79000
"Total",68496,240,490,780,1100,2600,4900,7700,9500,99000
